Version,Moneda,Precio
1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.,$,4322.70
1.6 MSi Trend MT (110cv) (L18) 5Ptas.,$,3377.50
1.6 MSi Comfortline MT (110cv) (L18) 5Ptas.,$,3800.00
2.0 TDI (180cv) 4x2 C/Doble Comfortline (L17),$,7511.30
2.0 TDI (180cv) 4x4 C/Doble Comfortline (L17),$,8873.80
Comfortline 250TSI Tiptronic (150cv),$,7421.50
1.5 SE MT (123cv) (L18),$,4088.00
2.2 TDCi C/Doble 4x2 XL 6MT (125cv) (L20),$,6383.00
2.2 TDCi C/Simple 4x2 XL 6MT (125cv) (L20),$,6243.00
1.0 Like (75cv),$,2742.50
1.3 GSE CVT Presicion (99cv),$,3911.50
1.0T Impetus CVT (130cv),$,4219.30
1.8 Freedom 4x2 AT6 Cab/Doble (130cv) (L21),$,5653.60
2.0 XEI CVT,$,6622.00
HEV 1.8 SEG eCVT,$,7868.00
2.0 SEG CVT (170cv) (L20),$,6251.00
1.5 X 6MT (105cv) (L18) 4Ptas.,$,2793.00
4x2 CD DX 2.4 TDI 6MT (150cv) (L20),$,6097.00
4x4 CD DX 2.4 TDI 6MT (150cv) (L20),$,7116.00
